Strongs numbers in lexicon, but not in tagged texts, SEEMS LIKE TOO MANY!
===

G33	ἄγε	to lead	
G8573	ὄχθη	a riverbank	
G8574	ὀχληρία	rioting	
G8575	ὀχυρός	fortified	
G8576	ὀχυρόω	to fortify	
G8577	ὀψίζω	to arrive late	
G8578	ὄψον	fish	
G8579	παγετός	icy coldness	
G8580	πάγος	ice	
G8581	παθεινός	a mourner	
G8582	παιγνία	play	
G8583	παίγνιον	a plaything	
G8584	παλάθη	a dried cluster	
G8585	παλαιστή	a palm (plant)	
G8586	παλαίω	to wrestle	
G8587	παλαίωμα	that which has grown old	
G8588	παλαίωσις	that which has grown old	
G8589	παλλακή	a concubine	
G8590	παλλακίς	a concubine	
G8591	πάλλω	to agitate	
G8592	παμβότανον	abundant herbage	
G8593	πανδημεί	in full assembly	
G8594	πανηγυρίζω	to assemble for a festival	
G8595	πάνθηρ	a panther	
G8596	πανοικία	whole family	
G8597	πανουργεύω	to trick	
G8598	παντοδαπός	of all kinds	
G8599	πάπυρος	papyrus (plant)	
G8600	παραβαπτός	deeply dyed	
G8601	παραβιβάζω	to cast aside	
G8602	παραβλέπω	to look over	
G8603	παράγγελμα	a mobilization order	
G8604	παραγραφίς	a scraper	
G8605	παραγωνίσκος	a carpenter's square	
G8606	παράδειγμα	a model	
G8607	παραδείκνυμι	to hold forth as an example	
G8608	παραδοξάζω	to do an incredible thing	
G8609	παραδρομή	a passing by	
G8610	παραζώνη	a sash	
G8611	παραθερμαίνω	to overheat	
G8612	παράθεσις	provision	
G8613	παραθλίβω	to press against	
G8614	παραιρέω	to lift from	
G8615	παρακάθημαι	to sit near	
G8616	παρακατατίθημι	to deposit in care of	
G8617	παρακελεύομαι	to rouse	
G8618	παρακλητικός	comforting	
G8619	παρακλήτωρ	a comforter	
G8620	παράκοιτος	a mistress	
G8621	παρακρούω	to cheat	
G8622	παραλαλέω	to speak improperly	
G8623	παράλλαξις	alteration	
G8624	παραλλάσσω	to alter	
G8625	παράλυσις	paralysis	
G8626	παραναλίσκω	to uselessly consume	
G8627	παράνομος	a lawbreaker	
G8628	παρανόμως	unlawfully	
G8629	παραξιφίς	a dagger	
G8630	παράπαν	thoroughly	
G8631	παραπέτασμα	a canopy	
G8632	παράπληκτος	deranged	
G8633	παραπληξία	derangement	
G8634	παράπτωσις	a transgression	
G8635	παραρρίπτω	to throw aside	
G8636	παράρυμα	a sheet of leather	
G8637	παρασιωπάω	to remain silent	
G8638	παράστασις	position	
G8639	παρασυμβάλλομαι	to resemble	
G8640	παράταξις	battle array	
G8641	παρατάσσω	to deploy	
G8642	παρατρέχω	be a bodyguard	
G8643	παραφρόνησις	ranting	
G8644	παραφυάς	a shoot	
G8645	παρεδρεύω	to attend upon	
G8646	παρεῖδω	to ignore	
G8647	παρεκτείνω	to reach forth	
G8648	παρέλκυσις	a deferment	
G8649	πάρεξ	besides	
G8650	παρεξίστημι	to move out of place	
G8651	παρθένια	marks of virginity	
G8652	παρθενικός	virgin	
G8653	παριστάνω	to present	
G8654	παροδεύω	to travel by	
G8655	παροικεσία	a sojourning	
G8656	παροίκησις	a sojourning	
G8657	παροινέω	to insult drunkenly	
G8658	παροιστράω	be in heat	
G8659	παροράω	to overlook	
G8660	παρόργισμα	provocation	
G8661	παρωμίς	a shoulder strap	
G8662	πάσσαλος	a peg	
G8663	πάσσω	to strew	
G8664	παστός	nuptial chamber	
G8665	παστοφόριον	a chamber	
G8666	πάτημα	trampled	
G8667	πατητός	trampled	
G8668	πατράδελφος	an uncle	
G8669	πάτραρχος	a patriarchal idol	
G8670	πάτριος	of a father	
G8671	παῦσις	cessation	
G8672	πάχνη	frost	
G8673	πάχος	thickness	
G8674	παχύς	robust	
G8675	πεδάω	to shackle	
G8676	πεδίον	a plain	
G8677	πεζός	a footman	
G8678	πειρατεύω	to maraud	
G8679	πειρατήριον	a band of marauders	
G8680	πειρατής	a marauder	
G8681	πέλας	a one near	
G8682	πελεκάν	pelican	
G8683	πελεκάω	to hew	
G8684	πελεκητός	hewn	
G8685	πέλεκυς	a hewing axe	
G8686	πελιδνός	dark colored	
G8687	πελιόομαι	be darkened	
G8688	πελταστής	armed with a small shield	
G8689	πέλτη	a small shield	
G8690	πέλυξ	a hewing axe	
G8691	πέμμα	a cake	
G8692	πενθικός	mournful	
G8693	πενία	poverty	
G8694	πένομαι	be in need	
G8695	πενταετής	of five years	
G8696	πεντάπηχυς	of five cubits	
G8697	πενταπλασίως	five-fold	
G8698	πενταπλοῦς	five-fold way	
G8699	πεντεκαίδεκα	fifteen	
G8700	πεντηκονταδύο	fifty-two	
G8701	πεντηκονταέξ	fifty-six	
G8702	πεντηκονταεπτά	fifty-seven	
G8703	πεντηκονταπέντε	fifty-five	
G8704	πεντηκονταπέτης	fifty years	
G8705	πεντηκόνταρχος	a commander of fifty	
G8706	πεντηκοντατρεῖς	fifty-three	
G8707	πεντηκοντέσσαρες	fifty-four	
G8708	πεντηκοστός	fiftieth	
G8709	πέπειρος	mature	
G8710	πεποιθότως	securely	
G8711	πέπων	a melon	
G8712	περαίνω	to achieve	
G8713	περασμός	a limit	
G8714	περάτης	a traveler	
G8715	πέρδιξ	partridge	
G8716	περιαργυρόω	to silver plate	
G8717	περίβλεπτος	admired	
G8718	περίβλημα	a wrap-around	
G8719	περιβολή	a wrap-around	
G8720	περίβολος	an enclosure	
G8721	περιγίνομαι	be an advantage	
G8722	περιδειπνέω	to eat at a wake	
G8723	περιδέξιος	a right armband	
G8724	περιδράσσομαι	to grasp in the hands	
G8725	περίειμι	to remain over	
G8726	περίζωμα	a loincloth	
G8727	περίθεμα	an adornment	
G8728	περικαθαίρω	to purge	
G8729	περικαθαρίζω	to purge	
G8730	περικάθημαι	to besiege	
G8731	περικαθίζω	to besiege	
G8732	περικείρω	to shave around	
G8733	περικνημίς	a legging	
G8734	περικοσμέω	to adorn sumptuously	
G8735	περικύκλῳ	surrounding	
G8736	περιλαμβάνω	to embrace	
G8737	περίληψις	an embrace	
G8738	περίλοιπος	residue	
G8739	περίμετρον	perimeter	
G8740	περιοδεύω	to travel about	
G8741	περίοδος	a circuit	
G8742	περιοικοδομέω	to enclose	
G8743	περιονυχίζω	to trim nails	
G8744	περιουσιασμός	prized possession	
G8745	περίπατος	a promenade	
G8746	περιπλέκω	to twist	
G8747	περιπόλιον	a township	
G8748	περιπόρφυρος	objects edged with purple	
G8749	περίπτερος	sparks	
G8750	περίπτωμα	by chance	
G8751	περιρραίνω	to sprinkle about	
G8752	περισιαλόομαι	to inlay	
G8753	περισκελής	pants	
G8754	περισκέπω	to cover	
G8755	περισπασμός	distraction	
G8756	περισπόρια	outskirts	
G8757	περίστασις	a surrounding space	
G8758	περιστέλλω	to screen	
G8759	περιστήθιον	a breast-plate	
G8760	περιστολή	attire	
G8761	περιστόμιος	a cleft	
G8762	περιστρέφω	to move around	
G8763	περίστυλος	a peristyle	
G8764	περισύρω	to tear away	
G8765	περισχίζω	to split	
G8766	περιτειχίζω	to wall around	
G8767	περίτειχος	a rampart	
G8768	περιφέρεια	madness	
G8769	περιφερής	circumference	
G8770	περιφορά	deviation	
G8771	περιφράσσω	to enclose	
G8772	περιχαλκόω	to brass plate	
G8773	περιχαρακόω	to surround with a rampart	
G8774	περιχαρής	overjoyed	
G8775	περιχέω	to pour about	
G8776	περιχρυσόω	to gild	
G8777	περκάζω	to grow dark	
G8778	πέσσω	to bake	
G8779	πέταλον	a leaf	
G8780	πετάννυμι	to spread out	
G8781	πέταυρον	a perch	
G8782	πέτρινος	of rock	
G8783	πετροβόλος	a slinger	
G8784	πεύκη	pine tree	
G8785	πεύκινος	of pine	
G8786	πέψις	baking	
G8787	πῆγμα	a bank of water	
G8788	πηδάω	to spring up	
G8789	πήλινος	of clay	
G8790	πιαίνω	to fatten	
G8791	πίθηκος	ape	
G8792	πίθος	a cask	
G8793	πικρασμός	bitterness	
G8794	πικρίς	a bitter herb	
G8795	πίνινος	of mother of pearl	
G8796	πίσσα	pitch	
G8797	πίτυς	pine tree	
G8798	πίων	plentiful	
G8799	πλαγιάζω	to bend	
G8800	πλάγιος	sideways	
G8801	πλάνησις	a delusion	
G8802	πλάτανος	plane tree	
G8803	πλατυσμός	an enlargement	
G8804	πλειστάκις	very often	
G8805	πλεονάκις	many times	
G8806	πλεόνασμα	surplus	
G8807	πλεονασμός	usury	
G8808	πλεοναστός	superabundant	
G8809	πλεονέκτημα	advantage	
G8810	πλευρόν	a side	
G8811	πλημμέλεια	a trespass	
G8812	πλημμελέω	to offend	
G8813	πλημμέλημα	a trespass	
G8814	πλημμέλησις	a trespass	
G8815	πλήρωσις	a filling	
G8816	πλησίος	dear one	
G8817	πλινθεία	making of bricks	
G8818	πλινθεύω	to make bricks	
G8819	πλινθίον	a brick-kiln	
G8820	πλίνθος	a brick	
G8821	πλινθουργία	brickmaking	
G8822	πλοκή	wreathen	
G8823	πλόκιον	a braid	
G8824	πλωτός	afloat	
G8825	πνευματοφορέομαι	be carried by wind	
G8826	πνευματοφόρος	carried by wind	
G8827	πνεύμων	lungs	
G8828	πόα	herbage	
G8829	ποθέω	to feel absence	
G8830	ποικιλία	embroidery	
G8831	ποικίλλω	to embroidered	
G8832	ποίκιλμα	color	
G8833	ποικιλτής	an embroiderer	
G8834	ποικιλτικός	embroidery	
G8835	ποικιλτός	an embroidered work	
G8836	ποικίλως	variously	
G8837	ποιμενικός	of a shepherd	
G8838	πόκος	fleece	
G8839	πολεμικός	warfare	
G8840	πολέμιος	warlike	
G8841	πολεμιστής	a warrior	
G8842	πολιά	grayness of hair	
G8843	πολιορκέω	to assault	
G8844	πολιορκία	an assault	
G8845	πολιός	gray hair	
G8846	πολλαχῶς	in many ways	
G8847	πολλοστός	a great deal	
G8848	πολυάνδριον	a cemetery	
G8849	πολυέλεος	full of mercy	
G8850	πολυήμερος	of many days	
G8851	πολυοδία	many ways	
G8852	πολυοχλία	a great multitude	
G8853	πολυπλασιάζω	to manifoldly multiply	
G8854	πολυπληθέω	be numerous	
G8855	πολυπληθύνω	to greatly multiply	
G8856	πολύπλοκος	crafty	
G8857	πολυρρήμων	talkative	
G8858	πολυτόκος	prolific	
G8859	πολυχρονίζω	to delay long	
G8860	πολυχρόνιος	long-lived	
G8861	πολυωρέω	to take great care	
G8862	πονέω	to suffer pain	
G8863	πονηρεύομαι	to act wickedly	
G8864	ποντοπορέω	to pass through a sea	
G8865	πόρευσις	a trek	
G8866	πορνεῖον	a place of harlotry	
G8867	πορνικός	of a harlot	
G8868	πορνοκόπος	a whoremonger	
G8869	πορφυρίς	of purple	
G8870	πορφυρίων	purple-legged stork	
G8871	ποσαπλῶς	how often	
G8872	πότημα	a drink	
G8873	ποτιστήριον	a channel	
G8874	ποτός	a beverage	
G8875	πράσινος	leek colored	
G8876	πρᾶσις	a sale	
G8877	πράσον	a leek	
G8878	πραΰθυμος	gentle-minded	
G8879	πραΰνω	to calm	
G8880	πρεσβεῖον	senior	
G8881	πρέσβυς	an ambassador	
G8882	πρήθω	to bloat	
G8883	πρίαμαι	to buy	
G8884	πριστηροειδής	toothed	
G8885	πρίων	a saw	
G8886	προαίρεσις	a resolve	
G8887	προανατάσσω	to prefer	
G8888	προανατέλλω	to sprout up early	
G8889	προαπαγγέλλω	to forewarn	
G8890	προάστειον	outskirts	
G8891	πρόβασις	an entrance approach	
G8892	πρόβλημα	a riddle	
G8893	προεκφέρω	to put forth first	
G8894	προθυμέομαι	to feel eager	
G8895	πρόθυρον	a threshold	
G8896	προΐημι	to let go	
G8897	προκαθίστημι	to post in front	
G8898	προκαταλαμβάνω	be first to take	
G8899	προλήνιον	a wine press	
G8900	πρόλοβος	a crop	
G8901	προμαχών	a battlement	
G8902	προνομεύω	to despoil	
G8903	προνομή	plunder	
G8904	προοίμιον	a retort	
G8905	πρόπαππος	a forefather	
G8906	προπέτεια	rashness	
G8907	προπίπτω	to fall down	
G8908	πρόπυλον	a gateway	
G8909	προσανάβασις	an ascent leading to	
G8910	προσαποθνῄσκω	to die in addition	
G8911	προσβάλλω	to strike up	
G8912	προσβλητός	amalgamated	
G8913	προσγίνομαι	unite with	
G8914	προσδεκτός	acceptable	
G8915	προσδίδωμι	to give in addition	
G8916	προσοράω	to look at	
G8917	προσεῖπον	to say to	
G8918	προσεκκαίω	to burn besides	
G8919	προσεμπρήθω	to set on fire	
G8920	προσέτι	moreover	
G8921	προσηλυτεύω	to convert	
G8922	προσηνής	kind	
G8923	πρόσθεμα	an addition	
G8924	πρόσθεσις	an addition	
G8925	προσθλίβω	to press to	
G8926	προσκαίω	be burnt through	
G8927	προσκαταλείπω	to leave surplus	
G8928	πρόσκαυμα	burnt	
G8929	πρόσκειμαι	to join up with	
G8930	προσκεφαλής	a pillow	
G8931	προσκρούω	to rush upon	
G8932	προσλογίζομαι	to count in addition to	
G8933	προσμίγνυμι	to mingle with	
G8934	προσνοέω	to pay attention to	
G8935	πρόσοδος	revenue	
G8936	προσόζω	to give out an odor	
G8937	προσοίγω	to shut	
G8938	προσόχθισμα	a loathsome thing	
G8939	πρόσοψις	aspect	
G8940	προσπαίζω	to play before	
G8941	προσραίνω	to sprinkle on	
G8942	προσσιελίζω	to salivate upon	
G8943	πρόσταγμα	an order	
G8944	προστάς	an antechamber	
G8945	προστάτης	a superintendent	
G8946	προσχαίρω	to rejoice with	
G8947	προσχέω	to pour on	
G8948	πρόσχωμα	a mound	
G8949	προσχωρέω	to join with	
G8950	προτείχισμα	area around a wall	
G8951	προτέρημα	honor	
G8952	προτομή	an upper part	
G8953	προφασίζομαι	to make an excuse	
G8954	προφασιστικός	offered as an excuse	
G8955	προφυλακή	an advance guard	
G8956	προφύλαξ	an advance guard	
G8957	προφυλάσσω	to keep guard over	
G8958	πρόχειρος	beforehand	
G8959	προχώρημα	excrement	
G8960	πρώην	a day before	
G8961	πρωΐθεν	from morning	
G8962	πρῳρεύς	a captain	
G8963	πρωτοβαθρέω	be seated first	
G8964	πρωτοβολέω	to put forth first	
G8965	πρωτογενής	first-born	
G8966	πρωτογέννημα	first produce	
G8967	πρωτόγονος	first-ripe	
G8968	πρωτολογία	beginning of speaking	
G8969	πρωτοτοκεύω	to give a right of first-born	
G8970	πρωτοτοκέω	to give birth first time	
G8971	πταῖσμα	fault	
G8972	πταρμός	a sneezing	
G8973	πτερνίζω	to stomp	
G8974	πτερνισμός	trickery	
G8975	πτερόν	a feather	
G8976	πτεροφυέω	to grow wings	
G8977	πτερύσσομαι	to flap wings	
G8978	πτερωτός	feathered	
G8979	πτήσσω	to alarm	
G8980	πτίλλος	hairless	
G8981	πτύελος	spittle	
G8982	πτύξις	fold	
G8983	πτυχή	fold	
G8984	πτωχίζω	to make poor	
G8985	πύγαργος	white-tailed hart	
G8986	πυθμήν	a lower branch	
G8987	πυκάζω	to enclose	
G8988	πυλωρός	a gatekeeper	
G8989	πυξίον	a writing tablet	
G8990	πύξος	boxwood	
G8991	πυργόβαρις	a towered fortification	
G8992	πυρεῖον	a censer	
G8993	πυρίκαυστος	scorched	
G8994	πυρός	wheat	
G8995	πυροφόρος	a wheat harvest	
G8996	πυρράκης	fiery red	
G8997	πυρρίζω	be reddish	
G8998	πυρσεύω	to light a fire	
G8999	πυρσός	a signal-fire	
G9000	πυρφόρος	a fire-bearer	
G9001	πυρωτής	a refiner	
G9002	πώγων	a beard	
G9003	ῥαγάς	a breach	
G9004	ράδαμνος	a tender branch	
G9005	Ῥαθαμά	broom shrub	
G9006	ῥαθυμέω	be lazy	
G9007	ῥαίνω	to sprinkle	
G9008	ῥακώδης	ragged	
G9009	ῥάμμα	thread	
G9010	ῥάμνος	white-thorn	
G9011	ῥαντός	speckled	
G9012	ῥαπτός	strung together	
G9013	ῥάπτω	to sew	
G9014	ρασίμ	courier	
G9015	ῥάσσω	to dash down	
G9016	ῥαφιδευτής	a stitcher	
G9017	ῥαφιδευτός	a stitched work	
G9018	ῥάχις	a spine	
G9019	ῥέγχω	to snore	
G9020	ῥεμβεύω	to stray	
G9021	ῥέμβω	to stray	
G9022	ῥῆσις	a saying	
G9023	ῥητίνη	balm	
G9024	ῥητός	in particular	
G9025	ῥῖγος	shivering	
G9026	ῥίζωμα	a root	
G9027	ῥίν	nostril	
G9028	ῥιπιστός	ventilated	
G9029	ῥόα	a pomegranate	
G9030	ῥοιζέω	to gurgle	
G9031	ῥοῖζος	impetus	
G9032	ῥοΐσκος	a pomegranate figure	
G9033	ῥόπαλον	a club	
G9034	ῥοπή	crux	
G9035	ῥοών	a pomegranate grove	
G9036	ῥύαξ	an overflow	
G9037	ῥυθμίζω	to compose	
G9038	ῥυθμός	a proportion	
G9039	ῥύστης	a rescuer	
G9040	Ρωκεϊμ	a perfumer	
G9041	ῥωγαλέος	stone	
G9042	ς	6	
G9043	Σαββατίζω	to observe sabbaths	
G9044	σαβεί	glory	
G9045	σαβέκ	a thicket	
G9046	σάγμα	a packsaddle	
G9047	Σαδδαΐ	Saddai	
G9048	σαδημώθ	a plain	
G9049	σαδηρώθ	ranks	
G9050	σαθρός	rotten	
G9051	σαθρόω	to disintegrate	
G9052	σαμβύκη	a sambuke	
G9053	σανιδωτός	planked	
G9054	σαπρία	rottenness	
G9055	σαπρίζω	to rot	
G9056	σαράβαρα	pantaloons	
G9057	σάρδιος	a carnelian	
G9058	σατραπεία	a satrapy	
G9059	σατράπης	satrap	
G9060	σαύρα	a lizard	
G9061	σαφώθ	cheese	
G9062	σαφῶς	clearly	
G9063	Σειρήν	a siren	
G9064	σειρομάστης	a spear	
G9065	σελίς	column	
G9066	σελισία	of three years	
G9067	σεραφίμ	seraphim	
G9068	σευτλίον	a beet	
G9069	σημαία	a flag	
G9070	σημασία	a cheer	
G9071	σημείωσις	a signal	
G9072	σῆψις	putrefaction	
G9073	σθένος	strength (physical)	
G9074	σιαγόνιον	a jawbone	
G9075	σῖγα	quiet	
G9076	σιδήριον	an iron implement	
G9077	σίελον	saliva	
G9078	σίκιμα	a portion	
G9079	σίκλος	a shekel	
G9080	σικυήρατον	a cucumber garden	
G9081	σίκυος	a cucumber	
G9082	σιρώνων	ornaments	
G9083	σισόη	a consecrated lock of hair	
G9084	σιτέω	be well fed	
G9085	σιτοβολών	a granary	
G9086	σιτοδεία	scarcity	
G9087	σιτοδοσία	provision	
G9088	σιτομετρέω	to measure out grain	
G9089	σιτοποιός	a baker	
G9090	σιωπή	silence	
G9091	σιώπησις	a veil	
G9092	σκάλλω	to till	
G9093	σκαμβός	crooked	
G9094	σκελίζω	to trip up	
G9095	σκεπάζω	to shelter	
G9096	σκέπαρνον	a hammer	
G9097	σκεπαστής	a shelterer	
G9098	σκέπη	a shelter	
G9099	σκεπηνός	protected	
G9100	σκέπτομαι	to look about	
G9101	σκευασία	a concoction	
G9102	σκευαστός	concocted	
G9103	σκευοφύλαξ	provisions officer	
G9104	σκῆπτρον	a chiefdom	
G9105	σκιάδιον	an awning	
G9106	σκιάζω	to shade	
G9107	σκληροκάρδιος	hard-hearted	
G9108	σκληροπρόσωπος	harsh	
G9109	σκληρῶς	harshly	
G9110	σκνίψ	a midge	
G9111	σκολιάζω	to perverse	
G9112	σκολιότης	deformity	
G9113	σκολιῶς	crookedly	
G9114	σκόπελον	a high rock	
G9115	σκοπιά	a height	
G9116	σκόρδον	garlic	
G9117	σκοτάζω	to darken	
G9118	σκοτομήνη	moonlight	
G9119	σκυθρωπάζω	to look downcast	
G9120	σκυλεύω	to despoil	
G9121	σκύμνος	a cub	
G9122	σκυτάλη	a stave	
G9123	σκῶλον	an impediment	
G9124	σμαραγδίτης	an emerald	
G9125	σμῆγμα	beauty treatment	
G9126	σμικρύνω	to diminish	
G9127	σμῖλαξ	a yew tree	
G9128	σμυρίτης	an emery stone	
G9129	σμύρνινος	of myrrh	
G9130	σοφιστής	a wise man	
G9131	σοφόω	to give wisdom	
G9132	σοφῶς	wisely	
G9133	σπάδων	a castrato	
G9134	σπανίζω	be depleted	
G9135	σπάνιος	sparingly	
G9136	σπάργανον	swaddling cloth	
G9137	σπαρτίον	a cord	
G9138	σπερματίζω	to conceive	
G9139	σπερματισμός	a discharge of semen	
G9140	σπιθαμή	a span	
G9141	σπινθήρ	a spark	
G9142	σποδιά	a pile of ashes	
G9143	σποδοειδής	ashen	
G9144	σπονδεῖον	a libation bowl	
G9145	σπονδή	a libation	
G9146	σταγών	a drop (liquid)	
G9147	στάζω	to drip	
G9148	σταθμάω	to measure by a rule	
G9149	στάθμιον	a scale-weight	
G9150	σταθμός	a doorpost	
G9151	σταῖς	dough	
G9152	στακτή	balsam	
G9153	σταλάζω	to trickle	
G9154	σταφίς	a dried grape	
G9155	στέαρ	fat	
G9156	στεατόομαι	to grow fat	
G9157	στεγάζω	to roof	
G9158	στεγνός	roofed	
G9159	στέλεχος	a stick	
G9160	στέμφυλον	dregs	
G9161	στενακτός	bemoaned	
G9162	στένω	to moan	
G9163	στενῶς	in a strait	
G9164	στένωσις	straitness	
G9165	στερεοκάρδιος	hard-hearted	
G9166	στερέω	to deprive	
G9167	στερίσκω	to deprive	
G9168	στεφάνη	a rim	
G9169	στηθοδεσμίς	a breastband	
G9170	στηθύνιον	a breast	
G9171	στήλη	a monument	
G9172	στηλογραφία	an inscription on a monument	
G9173	στηλόω	to set up a monument	
G9174	στήλωμα	a pillar	
G9175	στήμων	a warp	
G9176	στήριγμα	a reliance	
G9177	στιβαρός	dense	
G9178	στιβαρῶς	densely	
G9179	στίβι	antimony	
G9180	στιβίζομαι	to tinge with antimony	
G9181	στικτός	a mark	
G9182	στιλβόω	to brighten	
G9183	στίλβωσις	shine	
G9184	στίχος	a row	
G9185	στοιβάζω	to pile	
G9186	στοιβή	a pile	
G9187	στοιχίζω	to set in rows	
G9188	στολίζω	to robe	
G9189	στολισμός	a uniform	
G9190	στολιστής	a keeper of wardrobe	
G9191	στοχάζομαι	to take thought	
G9192	στοχαστής	a thinker	
G9193	στραγγαλιά	perverseness	
G9194	στραγγαλιώδης	insidious	
G9195	στραγγίζω	to wring out	
G9196	στρατοκῆρυξ	herald of an army	
G9197	στρατοπεδεία	a military encampment	
G9198	στρατοπεδεύω	to encamp	
G9199	στρεβλός	crooked	
G9200	στρέμμα	a strand	
G9201	στρίφνος	tough	
G9202	στροβέω	to whirl	
G9203	στρογγύλος	globular	
G9204	στρογγύλωμα	round	
G9205	στρογγύλωσις	a battleline	
G9206	στρουθίζω	to chirp	
G9207	στρουθός	an ostrich	
G9208	στροφεύς	a hinge	
G9209	στροφή	a shift and turn	
G9210	στρόφιγξ	a hinge	
G9211	στροφωτός	turnings	
G9212	στρῶμα	a bedding	
G9213	στρωμνή	a strewn bed	
G9214	στυγνός	gloomy	
G9215	στυππέϊνος	of hemp	
G9216	στυππίον	hemp	
G9217	στυράκινος	of a green poplar	
G9218	συγγίνομαι	be intimate with	
G9219	συγγραφή	a writ	
G9220	συγκαθυφαίνω	to interweave	
G9221	συγκαίω	to burn with	
G9222	συγκάλυμμα	a marriage veil	
G9223	συγκατακληρονομέομαι	to inherit together	
G9224	συγκαταμίγνυμι	to mix together with	
G9225	συγκατεσθίω	to devour together	
G9226	συγκαταφέρω	to carry together	
G9227	συγκατοικέω	to dwell together	
G9228	σύγκειμαι	be situated together	
G9229	συγκερατίζομαι	to mix horns	
G9230	συγκλασμός	a splinter	
G9231	συγκλάω	to break in pieces together	
G9232	σύγκλεισμα	a joinery	
G9233	συγκλεισμός	a confinement	
G9234	συγκλειστός	joined	
G9235	σύγκλητος	summoned	
G9236	συγκλύζω	to engulf	
G9237	σύγκοιτος	a bed-mate	
G9238	συγκόπτω	to cut down	
G9239	σύγκρασις	an admixture	
G9240	σύγκριμα	interpretation	
G9241	σύγκρισις	amalgamation	
G9242	συγκροτέω	to strike together	
G9243	συγκυρέω	to fall in with	
G9244	συζώννυμι	to tie together	
G9245	συκάμινον	fruit of sycamine trees	
G9246	συκεών	a fig grove	
G9247	συκοφάντης	an extortioner	
G9248	συκοφαντία	extortion	
G9249	σύλληψις	a seizing	
G9250	συλλογή	collection	
G9251	συλλογισμός	assessment	
G9252	συλλοιδορέω	to join in reviling	
G9253	συμβαστάζω	be compared with	
G9254	σύμβλημα	a coupling	
G9255	σύμβλησις	a coupling	
G9256	συμβοηθός	an ally	
G9257	συμβολή	a compact	
G9258	συμβολοκοπέω	be fond of carousing	
G9259	σύμβολον	a symbol	
G9260	συμβόσκομαι	to feed together	
G9261	συμβουλία	advice	
G9262	συμμαχέω	to fight along with	
G9263	συμμαχία	an alliance in war	
G9264	σύμμετρος	well-proportioned	
G9265	συμμιγής	mixed together	
G9266	συμμίγνυμι	to mix together with	
G9267	σύμμικτος	consolidation	
G9268	σύμμιξις	an alliance	
G9269	συμπαρίστημι	to stand up with	
G9270	σύμπας	all things	
G9271	συμπατέω	to trample upon together	
G9272	συμπεραίνω	to finish off together	
G9273	συμπεριφέρω	to accommodate	
G9274	σύμπλεκτος	closely joined	
G9275	συμπλέκω	be closely joined	
G9276	συμπλήρωσις	fulfillment	
G9277	συμποδίζω	to bind hand and foot	
G9278	συμπολεμέω	to join in war with	
G9279	συμπορπάομαι	to clasp together	
G9280	συμπροπέμπω	to escort	
G9281	συμπρόσειμι	to adhere with	
G9282	συμπροσπλέκομαι	to grapple together	
G9283	σύμπτωμα	a coincidence	
G9284	συμφλέγω	to burn together	
G9285	συμφοράζω	to lament together	
G9286	συμφράσσω	to shut up together	
G9287	συμφρύγω	to parch	
G9288	συμφύρω	to blend together	
G9289	συμφώνως	harmoniously	
G9290	συμψάω	to scrape away	
G9291	συνᾴδω	to sing together in concert	
G9292	συνάλλαγμα	exchange	
G9293	συνανάμιξις	intermingling with	
G9294	συναναφέρω	to join in carrying off	
G9295	συναντή	a meeting with	
G9296	συνάντημα	an event	
G9297	συνάπτω	to join together	
G9298	συναριθμέω	to count with	
G9299	συναυλίζομαι	to lodge with	
G9300	σύναψις	an association	
G9301	συνδειπνέω	to dine with	
G9302	συνδυάζω	to associate oneself	
G9303	σύνεγγυς	in the vicinity	
G9304	συνεδριάζω	to sit together with	
G9305	συνεκπολεμέω	to join in making war	
G9306	συνεκπορεύομαι	to go forth together	
G9307	συνεκτρέφω	to bring up together	
G9308	συνέλκω	to draw together	
G9309	συνεξαίρω	to raise up together	
G9310	συνεξέρχομαι	to go out together	
G9311	συνεπακολουθέω	to follow after together	
G9312	συνεπισκέπω	to consider together	
G9313	συνεπίσταμαι	be conscious of	
G9314	συνεπισχύω	to vigorously assist	
G9316	συνεταιρίς	a female companion	
G9317	συνέταιρος	a male companion	
G9318	συνετίζω	to bring understanding to	
G9319	συνετῶς	expertly	
G9320	συνευφραίνομαι	be glad with	
G9321	συνῆλιξ	a contemporary	
G9322	συνθέλω	to acquiesce	
G9323	σύνθεμα	an agreement with	
G9324	σύνθεσις	a composition	
G9325	σύνθετος	compounded	
G9326	συνθήκη	a treaty	
G9327	συνίστωρ	a joint witness	
G9328	συννέφω	to collect clouds together	
G9329	συννεφής	covered with clouds	
G9330	σύννυμφος	a sister-in-law	
G9331	σύνοδος	a convocation	
G9332	συνοικίζω	to live together	
G9333	συνούλωσις	closing of a wound	
G9334	συνταγή	an arranged order	
G9335	σύνταγμα	an arranged order	
G9336	σύνταξις	a rate	
G9337	συνταράσσω	to disturb	
G9338	συντέλεσμα	custom (tax)	
G9339	συντίμησις	a price	
G9340	συντριβή	a breaking	
G9341	συντριμμός	a break	
G9342	σύντριψις	a defeat	
G9343	συντροχάζω	to roll together	
G9344	συνυφαίνω	to weave together	
G9345	συνυφή	a woven part	
G9346	συνωμότης	a confederate	
G9347	σύριγμα	a hissing	
G9348	σῦριγξ	a flute	
G9349	συρίζω	to hiss	
G9350	συρισμός	a hissing	
G9351	συρράπτω	to sew together	
