# File Name: Hebrew_Lexicon_Strongs.txt
# File Size: 1452460     
# File Date: 02/20/2021 19:25:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: http://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2021
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: http://www.AionianBible.org/Publisher
# Publisher Mission: http://www.AionianBible.org/Preface
# Publisher Website: http://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Robert Rouse
# Source Content: James Strong's Lexicon, Hebrew
# Source Description: https://en.wikipedia.org/wiki/Strong%27s_Concordance
# Source Copyright: Public Domain
# Source Link: https://viz.bible/
#
# COLUMNS
#	STRONGS
#		Strong's number
#	WORD
#		Hebrew word
#	TRANS
#		Transliterated word
#	PRONOUNCE
#		Pronunciation
#	LANG
#		Language
#	MORPH
#		Part of speech
#	DEF
#		Definition
#
STRONGS	WORD	TRANS	PRONOUNCE	LANG	MORPH	DEF
H3897	לָחַךְ	lâchak	law-khak'	heb	Verb	a primitive root; to lick; lick (up).
H3898	לָחַם	lâcham	law-kham'	heb	Verb	a primitive root; to feed on; figuratively, to consume; by implication, to battle (as destruction); devour, eat, [idiom] ever, fight(-ing), overcome, prevail, (make) war(-ring).
H3899	לֶחֶם	lechem	lekh'-em	heb	Noun Masculine	from לָחַם; See also בֵּית לְעַפְרָה; food (for man or beast), especially bread, or grain (for making it); (shew-) bread, [idiom] eat, food, fruit, loaf, meat, victuals.
H3900	לְחֶם	lᵉchem	lekh-em'	arc	Noun Masculine	(Aramaic) corresponding to לֶחֶם; {(for man or beast), especially bread, or grain (for making it)}; feast.
H3901	לָחֶם	lâchem	law-khem'	heb	Noun Masculine	from לָחַם,; battle; war.
H3902	לַחְמִי	Lachmîy	lakh-mee'	x-pn	Proper Name Masculine	from לֶחֶם; foodful; (or perhaps erroneous transcription) for בֵּית הַלַּחְמִי; Lachmi, an Israelite; or rather probably a brief form; Lahmi. See also יָשֻׁבִי לֶחֶם.
H3903	לַחְמָס	Lachmâç	lakh-maws'	x-pn	Neuter	probably by erroneous transcription for לַחְמָם; from לֶחֶם; food-like; Lachmam or Lachmas, a place in Palestine; Lahmam.
H3904	לְחֵנָה	lᵉchênâh	lekh-ay-naw'	arc	Noun Feminine	(Aramaic) from an unused root of uncertain meaning; a concubine; concubine.
H3905	לָחַץ	lâchats	law-khats'	heb	Verb	a primitive root; properly, to press, i.e. (figuratively) to distress; afflict, crush, force, hold fast, oppress(-or), thrust self.
H3906	לַחַץ	lachats	lakh'-ats	heb	Noun Masculine	from לָחַץ; distress; affliction, oppression.
H3907	לָחַשׁ	lâchash	law-khash'	heb	Verb	a primitive root; to whisper; by implication, to mumble aspell (as a magician); charmer, whisper (together).
H3908	לַחַשׁ	lachash	lakh'-ash	heb	Noun Masculine	from לָחַשׁ; properly, a whisper, i.e. by implication, (in a good sense) a private prayer, (in a bad one) an incantation; concretely, an amulet; charmed, earring, enchantment, orator, prayer.
H3909	לָט	lâṭ	lawt	heb	Noun Masculine	a form of לָאט or else participle from לוּט; properly, covered, i.e. secret; by implication, incantation; also secrecy or (adverb) covertly; enchantment, privily, secretly, softly.
H3910	לֹט	lôṭ	lote	heb	Noun Masculine	probably from לוּט; a gum (from its sticky nature), probably ladanum; myrrh.
H3911	לְטָאָה	lᵉṭâʼâh	let-aw-aw'	heb	Noun Feminine	from an unused root meaning to hide; a kind of lizard (from its covert habits); lizard.
H3912	לְטוּשִׁם	Lᵉṭûwshim	let-oo-sheem'	x-pn	Noun	masculine plural of passive participle of לָטַשׁ; hammered (i.e. oppressed) ones; Letushim, an Arabian tribe; Letushim.
H3913	לָטַשׁ	lâṭash	law-tash'	heb	Verb	a primitive root; properly, to hammer out (an edge), i.e. to sharpen; instructer, sharp(-en), whet.
H3914	לֹיָה	lôyâh	lo-yaw'	heb	Noun Feminine	a form of לִוְיָה; a wreath; addition.
H3915	לַיִל	layil	lah'-yil	heb	Noun Masculine	or (Isaiah 21:11) לֵיל; also לַיְלָה; from the same as לוּל; properly, a twist (away of the light), i.e. night; figuratively, adversity; (mid-)night (season).
H3916	לֵילְיָא	lêylᵉyâʼ	lay-leh-yaw'	arc	Noun Masculine	(Aramaic) corresponding to לָאֵל; {Lael an Israelite}; night.
H3917	לִילִית	lîylîyth	lee-leeth'	heb	Noun Feminine	from לַיִל; a night spectre; screech owl.
H3918	לַיִשׁ	layish	lah'-yish	heb	Noun Masculine	from לוּשׁ in the sense of crushing; a lion (from his destructive blows); (old) lion.
H3919	לַיִשׁ	Layish	lah'-yish	x-pn		the same as לַיִשׁ; Laish, the name of two places in Palestine; Laish. Compare לוּשׁ.
H3920	לָכַד	lâkad	law-kad'	heb	Verb	a primitive root; to catch (in a net, trap or pit); generally, to capture or occupy; also to choose (by lot); figuratively, to cohere; [idiom] at all, catch (self), be frozen, be holden, stick together, take.
H3921	לֶכֶד	leked	leh'ked	heb	Noun Masculine	from לָכַד; something to capture with, i.e. a noose; being taken.
H3922	לֵכָה	lêkâh	lay-kaw'	x-pn	Proper Name Location	from יָלַךְ; a journey; Lekah, a place in Palestine; Lecah.
H3923	לָכִישׁ	Lâkîysh	law-keesh'	x-pn	Proper Name Location	xlit Lâchîysh corrected to Lâkîysh; from an unused root of uncertain meaning; Lakish, a place in Palestine; Lachish.
H3924	לֻלָאָה	lulâʼâh	loo-law-aw'	heb	Noun Feminine	from the same as לוּל; a loop; loop.
H3925	לָמַד	lâmad	law-mad'	heb	Verb	a primitive root; properly, to goad, i.e. (by implication) to teach (the rod being an Oriental incentive); (un-) accustomed, [idiom] diligently, expert, instruct, learn, skilful, teach(-er, -ing).
H3926	לְמוֹ	lᵉmôw	lem-o'	heb	Preposition	a prolonged and separable form of the prepositional prefix; to or for; at, for, to, upon.
H3927	לְמוּאֵל	Lᵉmûwʼêl	lem-oo-ale'	x-pn	Proper Name Masculine	or לְמוֹאֵל; from לְמוֹ and אֵל; (belonging) to God; Lemuel or Lemoel, a symbolic name of Solomon; Lemuel.
H3928	לִמּוּד	limmûwd	lim-mood'	heb	Adjective	or לִמֻּד; from לָמַד; instructed; accustomed, disciple, learned, taught, used.
H3929	לֶמֶךְ	Lemek	leh'-mek	x-pn	Proper Name Masculine	from an unused root of uncertain meaning; Lemek, the name of two antediluvian patriarchs; Lamech.
H3930	לֹעַ	lôaʻ	lo'ah	heb	Noun Masculine	from לוּעַ; the gullet; throat.
H3931	לָעַב	lâʻab	law-ab'	heb	Verb	a primitive root; to deride; mock.
H3932	לָעַג	lâʻag	law-ag'	heb	Verb	a primitive root; to deride; by implication (as if imitating a foreigner) to speak unintelligibly; have in derision, laugh (to scorn), mock (on), stammering.
H3933	לַעַג	laʻag	lah'-ag	heb	Noun Masculine	from לָעַג; derision, scoffing; derision, scorn (-ing).
H3934	לָעֵג	lâʻêg	law-ayg'	heb	Adjective	from לָעַג; a buffoon; also a foreigner; mocker, stammering.
H3935	לַעְדָּה	Laʻdâh	lah-daw'	x-pn	Proper Name Masculine	from an unused root of uncertain meaning; Ladah, an Israelite; Laadah.
H3936	לַעְדָּן	Laʻdân	lah-dawn'	x-pn	Proper Name Masculine	from the same as לַעְדָּה; Ladan, the name of two Israelites; Laadan.
H3937	לָעַז	lâʻaz	law-az'	heb	Verb	a primitive root; to speak in a foreign tongue; strange language.
H3938	לָעַט	lâʻaṭ	law-at'	heb	Verb	a primitive root; to swallow greedily; causatively, to feed; feed.
H3939	לַעֲנָה	laʻănâh	lah-an-aw'	heb	Noun Feminine	from an unused root supposed to mean to curse; wormwood (regarded as poisonous, and therefore accursed); hemlock, wormwood.
H3940	לַפִּיד	lappîyd	lap-peed'	heb	Noun Masculine	or לַפִּד; from an unused root probably meaning to shine; a flambeau, lamp or flame; (fire-) brand, (burning) lamp, lightning, torch.
H3941	לַפִּידוֹת	Lappîydôwth	lap-pee-doth'	x-pn	Proper Name Feminine	feminine plural of לַפִּיד; Lappidoth, the husband of Deborah; Lappidoth.
H3942	לִפְנַי	liphnay	lif-nah'ee	heb	Preposition	from the prepositional prefix (to or for) and פָּנִים; anterior; before.
H3943	לָפַת	lâphath	law-fath'	heb	Verb	a primitive root; properly, to bend, i.e. (by implication) to clasp; also (reflexively) to turn around or aside; take hold, turn aside (self).
H3944	לָצוֹן	lâtsôwn	law-tsone'	heb	Noun Masculine	from לוּץ; derision; scornful(-ning).
H3945	לָצַץ	lâtsats	law-tsats'	heb	Verb	a primitive root; to deride; scorn.
H3946	לַקּוּם	Laqqûwm	lak-koom'	x-pn	Proper Name Location	from an unused root thought to mean to stop up by a barricade; perhaps fortification; Lakkum, a place in Palestine; Lakum.
H3947	לָקַח	lâqach	law-kakh'	heb	Verb	a primitive root; to take (in the widest variety of applications); accept, bring, buy, carry away, drawn, fetch, get, infold, [idiom] many, mingle, place, receive(-ing), reserve, seize, send for, take (away, -ing, up), use, win.
H3948	לֶקַח	leqach	leh'-kakh	heb	Noun Masculine	from לָקַח; properly, something received, i.e. (mentally) instruction (whether on the part of the teacher or hearer); also (in an active and sinister sense) inveiglement; doctrine, learning, fair speech.
H3949	לִקְחִי	Liqchîy	lik-khee'	x-pn	Proper Name Masculine	from לָקַח; learned; Likchi, an Israelite; Likhi.
H3950	לָקַט	lâqaṭ	law-kat'	heb	Verb	a primitive root; properly, to pick up, i.e. (generally) to gather; specifically, to glean; gather (up), glean.
H3951	לֶקֶט	leqeṭ	leh'-ket	heb	Noun Masculine	from לָקַט; the gleaning; gleaning.
H3952	לָקַק	lâqaq	law-kak'	heb	Verb	a primitive root; to lick or lap; lap, lick.
H3953	לָקַשׁ	lâqash	law-kash'	heb	Verb	a primitive root; to gather the after crop; gather.
H3954	לֶקֶשׁ	leqesh	leh'-kesh	heb	Noun Masculine	from לָקַשׁ; the after crop; latter growth.
H3955	לְשַׁד	lᵉshad	lesh-ad'	heb	Noun Masculine	from an unused root of uncertain meaning; apparently juice, i.e.; (figuratively) vigor; also a sweet or fat cake; fresh, moisture.
H3956	לָשׁוֹן	lâshôwn	law-shone'	heb	Noun Masculine	or לָשֹׁן; also (in plural) feminine לְשֹׁנָה; from לָשַׁן; the tongue (of man or animals), used literally (as the instrument of licking, eating, or speech), and figuratively (speech, an ingot, a fork of flame, a cove of water); [phrase] babbler, bay, [phrase] evil speaker, language, talker, tongue, wedge.
H3957	לִשְׁכָּה	lishkâh	lish-kaw'	heb	Noun Feminine	from an unused root of uncertain meaning; a room in a building (whether for storage, eating, or lodging); chamber, parlour. Compare נִשְׁכָּה.
H3958	לֶשֶׁם	leshem	leh'-shem	heb	Noun Masculine	from an unused root of uncertain meaning; a gem, perhaps the jacinth; ligure.
H3959	לֶשֶׁם	Leshem	leh'-shem	x-pn	Proper Name Location	the same as לֶשֶׁם; Leshem, a place in Palestine; Leshem.
H3960	לָשַׁן	lâshan	law-shan'	heb	Verb	a primitive root; properly, to lick; but used only as a denominative from לָשׁוֹן; to wag the tongue, i.e. to calumniate; accuse, slander.
H3961	לִשָּׁן	lishshân	lish-shawn'	arc	Noun Masculine	(Aramaic) corresponding to לָשׁוֹן; speech, i.e. a nation; language.
H3962	לֶשַׁע	Leshaʻ	leh'-shah	x-pn	Proper Name Location	from an unused root thought to mean to break through; a boiling spring; Lesha, a place probably East of the Jordan; Lasha.
H3963	לֶתֶךְ	lethek	leh'-thek	heb	Noun Masculine	from an unused root of uncertain meaning; a measure for things dry; half homer. m
H3964	מָא	mâʼ	maw	arc		(Aramaic) corresponding to מָה; (as indefinitely) that; [phrase] what.
H3965	מַאֲבוּס	maʼăbûwç	mah-ab-ooce'	heb	Noun Masculine	from אָבַס; a granary; storehouse.
H3966	מְאֹד	mᵉʼôd	meh-ode'	heb		from the same as אוּד; properly, vehemence, i.e. (with or without preposition) vehemently; by implication, wholly, speedily, etc. (often with other words as an intensive or superlative; especially when repeated); diligently, especially, exceeding(-ly), far, fast, good, great(-ly), [idiom] louder and louder, might(-ily, -y), (so) much, quickly, (so) sore, utterly, very ([phrase] much, sore), well.
H3967	מֵאָה	mêʼâh	may-aw'	heb	Noun Feminine	or מֵאיָה; properly, a primitive numeral; a hundred; also as a multiplicative and a fraction; hundred((-fold), -th), [phrase] sixscore.
H3968	מֵאָה	Mêʼâh	may-aw'	x-pn	Noun Feminine	the same as מֵאָה; Meah, a tower in Jerusalem; Meah.
H3969	מְאָה	mᵉʼâh	meh-aw'	arc	Noun Feminine	(Aramaic) corresponding to מֵאָה; properly, a primitive numeral; a hundred; also as a multiplicative and a fraction}; hundred.
H3970	מַאֲוַי	maʼăvay	mah-av-ah'ee	heb	Noun Masculine	from אָוָה; a desire; desire.
H3971	מאוּם	mʼûwm	moom	heb	Noun Masculine	usually מוּם; as if passive participle from an unused root probably meaning; to stain; a blemish (physically or morally); blemish, blot, spot.
H3972	מְאוּמָה	mᵉʼûwmâh	meh-oo'-maw	heb		apparently a form of מאוּם; properly, a speck or point, i.e. (by implication) something; with negative, nothing; fault, [phrase] no(-ught), ought, somewhat, any (no-)thing.
H3973	מָאוֹס	mâʼôwç	maw-oce'	heb	Noun Masculine	from מָאַס; refuse; refuse.
H3974	מָאוֹר	mâʼôwr	maw-ore'	heb	Noun Masculine	or מָאֹר; also (in plural) feminine מְאוֹרָה; or מְאֹרָה; from אוֹר; properly, a luminous body or luminary, i.e. (abstractly) light (as an element); figuratively, brightness, i.e.cheerfulness; specifically, a chandelier; bright, light.
H3975	מְאוּרָה	mᵉʼûwrâh	meh-oo-raw'	heb	Noun Feminine	feminine passive participle of אוֹר; something lighted, i.e. an aperture; by implication, a crevice or hole (of a serpent); den.
H3976	מֹאזֵן	môʼzên	mo-zane'	heb	Noun Masculine	from אָזַן; (only in the dual) a pair of scales; balances.
H3977	מֹאזֵן	môʼzên	mo-zane'	arc	Noun Masculine	(Aramaic) corresponding to מֹאזֵן; {(only in the dual) a pair of scales}; balances.
H3978	מַאֲכָל	maʼăkâl	mah-ak-awl'	heb	Noun Masculine	from אָכַל; an eatable (includ. provender, flesh and fruit); food, fruit, (bake-)meat(-s), victual.
H3979	מַאֲכֶלֶת	maʼăkeleth	mah-ak-eh'-leth	heb	Noun Feminine	from אָכַל; something to eat with,i.e. a knife; knife.
H3980	מַאֲכֹלֶת	maʼăkôleth	mah-ak-o'-leth	heb	Noun Feminine	from אָכַל; something eaten (by fire), i.e. fuel; fuel.
H3981	מַאֲמָץ	maʼămâts	mah-am-awts'	heb	Noun Masculine	from אָמַץ; strength, i.e. (plural) resources; force.
H3982	מַאֲמַר	maʼămar	mah-am-ar'	heb	Noun Masculine	from אָמַר; something (authoritatively) said, i.e. an edict; commandment, decree.
H3983	מֵאמַר	mêʼmar	may-mar'	arc	Noun Masculine	(Aramaic) corresponding to מַאֲמַר; {something (authoritatively) said, i.e. an edict}; appointment, word.
H3984	מָאן	mâʼn	mawn	arc	Noun Masculine	(Aramaic) probably from a root corresponding to אָנָה in the sense of an inclosure by sides; a utensil; vessel.
H3985	מָאֵן	mâʼên	maw-ane'	heb	Verb	a primitive root; to refuse; refuse, [idiom] utterly.
H3986	מָאֵן	mâʼên	maw-ane'	heb	Adjective	from מָאֵן; unwilling; refuse.
H3987	מֵאֵן	mêʼên	may-ane'	heb	Adjective	from מָאֵן; refractory; refuse.
H3988	מָאַס	mâʼaç	maw-as'	heb		a primitive root; to spurn; also (intransitively) to disappear; abhor, cast away (off), contemn, despise, disdain, (become) loathe(some), melt away, refuse, reject, reprobate, [idiom] utterly, vile person.
H3989	מַאֲפֶה	maʼăpheh	mah-af-eh'	heb	Noun Masculine	from אָפָה; something baked, i.e. a batch; baken.
H3990	מַאֲפֵל	maʼăphêl	mah-af-ale'	heb	Noun Masculine	from the same as אָפֵל; something opaque; darkness.
H3991	מַאְפֵלְיָה	maʼphêlᵉyâh	mah-af-ay-leh-yaw'	heb	Noun Feminine	lemma מַאֲפֵלְיָה second vowel, corrected to מַאְפֵלְיָה; prolonged feminine of מַאֲפֵל; opaqueness; darkness.
H3992	מָאַר	mâʼar	maw-ar'	heb	Verb	a primitive root; to be bitter or (causatively) to embitter, i.e. be painful; fretting, picking.
H3993	מַאֲרָב	maʼărâb	mah-ar-awb'	heb	Noun Masculine	from אָרַב; an ambuscade; lie in ambush, ambushment, lurking place, lying in wait.
H3994	מְאֵרָה	mᵉʼêrâh	meh-ay-raw'	heb	Noun Feminine	from אָרַר; an execration; curse.
H3995	מִבְדָּלָה	mibdâlâh	mib-daw-law'	heb	Noun Feminine	from בָּדַל; a separation, i.e. (concretely) a separate place; separate.
H3996	מָבוֹא	mâbôwʼ	maw-bo'	heb	Noun Masculine	from בּוֹא; (with or without שֶׁמֶשׁ); an entrance (the place or the act); specifically sunset or the west; also (adverb with preposition) towards; by which came, as cometh, in coming, as men enter into, entering, entrance into, entry, where goeth, going down, [phrase] westward. Compare מוֹבָא.
H3997	מְבוֹאָה	mᵉbôwʼâh	meb-o-aw'	heb	Noun Feminine	feminine of מָבוֹא; a haven; entry.
H3998	מְבוּכָה	mᵉbûwkâh	meb-oo-kaw'	heb	Noun Feminine	from בּוּךְ; perplexity; perplexity.
H3999	מַבּוּל	mabbûwl	mab-bool'	heb	Noun Masculine	from יָבַל in the sense of flowing; a deluge; flood.
H4000	מָבוֹן	mâbôwn	maw-bone'	heb		from בִּין; instructing; taught.
H4001	מְבוּסָה	mᵉbûwçâh	meb-oo-saw'	heb	Noun Feminine	from בּוּס; a trampling; treading (trodden) down (under foot).
H4002	מַבּוּעַ	mabbûwaʻ	mab-boo'-ah	heb	Noun Masculine	from נָבַע; a fountain; fountain, spring.
H4003	מְבוּקָה	mᵉbûwqâh	meb-oo-kah'	heb	Noun Feminine	from the same as בּוּקָה; emptiness; void.
H4004	מִבְחוֹר	mibchôwr	mib-khore'	heb	Noun Masculine	from בָּחַר; select, i.e. well fortified; choice.
H4005	מִבְחָר	mibchâr	mib-khawr'	heb	Noun Masculine	from בָּחַר; select, i.e. best; choice(-st), chosen.
H4006	מִבְחָר	Mibchâr	mib-khawr'	x-pn	Proper Name Masculine	the same as מִבְחָר; Mibchar, an Israelite; Mibhar.
H4007	מַבָּט	mabbâṭ	mab-bawt'	heb	Noun Masculine	or מֶבָּט; from נָבַט; something expected, i.e. (abstractly) expectation; expectation.
H4008	מִבְטָא	mibṭâʼ	mib-taw'	heb	Noun Masculine	from בָּטָא; a rash utterance (hasty vow); (that which...) uttered (out of).
H4009	מִבְטָח	mibṭâch	mib-tawkh'	heb	Noun Masculine	from בָּטַח; properly, a refuge, i.e. (objective) security, or (subjective) assurance; confidence, hope, sure, trust.
H4010	מַבְלִיגִית	mablîygîyth	mab-leeg-eeth'	heb	Noun Feminine	from בָּלַג; desistance (or rather desolation); comfort self.
H4011	מִבְנֶה	mibneh	mib-neh'	heb	Noun Masculine	from בָּנָה; a building; frame.
H4012	מְבֻנַּי	Mᵉbunnay	meb-oon-hah'-ee	x-pn	Proper Name Masculine	from בָּנָה; built up; Mebunnai, an Israelite; Mebunnai.
H4013	מִבְצָר	mibtsâr	mib-tsawr'	heb	Noun Masculine	also (in plural) feminine (Daniel 11:l5) מִבְצָרָה; from בָּצַר; a fortification, castle, or fortified city; figuratively, a defender; (de-, most) fenced, fortress, (most) strong (hold).
H4014	מִבְצָר	Mibtsâr	mib-tsawr'	x-pn	Proper Name Masculine	the same as מִבְצָר; Mibtsar, an Idumaean; Mibzar.
H4015	מִבְרָח	mibrâch	mib-rawkh'	heb	Noun Masculine	from בָּרַח; a refugee; fugitive.
H4016	מָבֻשׁ	mâbush	maw-boosh'	heb	Noun Masculine	from בּוּשׁ; (plural) the (male) pudenda; secrets.
H4017	מִבְשָׂם	Mibsâm	mib-sawm'	x-pn	Proper Name Masculine	from the same as בֶּשֶׂם; fragrant; Mibsam, the name of an Ishmaelite and of an Israelite; Mibsam.
H4018	מְבַשְּׁלָה	mᵉbashshᵉlâh	meb-ash-shel-aw'	heb	Noun Feminine	from בָּשַׁל; a cooking hearth; boiling-place.
H4019	מַגְבִּישׁ	Magbîysh	mag-beesh'	x-pn	Proper Name Masculine	from the same as גָּבִישׁ; stiffening; Magbish, an Israelite, or a place in Palestine; Magbish.
H4020	מִגְבָּלָה	migbâlâh	mig-baw-law'	heb	Noun Feminine	from גָּבַל; a border; end.
H4021	מִגְבָּעָה	migbâʻâh	mig-baw-aw'	heb	Noun Feminine	from the same as גִּבְעָה; a cap (as hemispherical); bonnet.
H4022	מֶגֶד	meged	meh'-ghed	heb	Noun Masculine	from an unused root probably meaning to be eminent; properly, a distinguished thing; hence something valuable, as aproduct or fruit; pleasant, precious fruit (thing).
H4023	מְגִדּוֹן	Mᵉgiddôwn	meg-id-done'	x-pn	Proper Name Location	(Zechariah אַבְדָן) or מְגִדּוֹ; from גָּדַד; rendezvous; Megiddon or Megiddo, a place in Palestine; Megiddo, Megiddon.
H4024	מִגְדּוֹל	Migdôwl	mig-dole'	x-pn		or מִגְדֹּל; probably of Egyptian origin; Migdol, a place in Egypt; Migdol, tower.
H4025	מַגְדִּיאֵל	Magdîyʼêl	mag-dee-ale'	x-pn	Proper Name Masculine	from מֶגֶד and אֵל; preciousness of God; Magdiel, an Idumaean; Magdiel.
H4026	מִגְדָּל	migdâl	mig-dawl'	heb	Noun Masculine	also (in plural) feminine מִגְדָּלָה; from גָּדַל; a tower (from its size or height); by analogy, a rostrum; figuratively, a (pyramidal) bed of flowers; castle, flower, tower. Compare the names following.
H4027	מִגְדַּל־אֵל	Migdal-ʼÊl	mig-dal-ale'	x-pn	Proper Name Location	from מִגְדָּל and אֵל; tower of God; Migdal-El, a place in Palestine; Migdal-el.
H4028	מִגְדַּל־גָּד	Migdal-Gâd	migdal-gawd'	x-pn	Proper Name Location	from מִגְדָּל and גַּד; tower of Fortune; Migdal-Gad, a place in Palestine; Migdal-gad.
H4029	מִגְדַּל־עֵדֶר	Migdal-ʻÊder	mig-dal'-ay'-der	x-pn	Noun	from מִגְדָּל and עֵדֶר; tower of a flock; Migdal-Eder, a place in Palestine; Migdal-eder, tower of the flock.
H4030	מִגְדָּנָה	migdânâh	mig-daw-naw'	heb	Noun Feminine	from the same as מֶגֶד; preciousness, i.e. a gem; precious thing, present.
H4031	מָגוֹג	Mâgôwg	maw-gogue'	x-pn		from גּוֹג; Magog, a son of Japheth; also a barbarous northern region; Magog.
H4032	מָגוֹר	mâgôwr	maw-gore'	heb	Noun Masculine	or (Lamentations 2:22) מָגוּר; from גּוּר in the sense of fearing; a fright (objective or subjective); fear, terror. Compare מָגוֹר מִסָּבִיב.
H4033	מָגוּר	mâgûwr	maw-goor'	heb	Noun Masculine	or מָגֻר; from גּוּר in the sense of lodging; a temporary abode; by extension, a permanent residence; dwelling, pilgrimage, where sojourn, be a stranger. Compare מָגוֹר.
H4034	מְגוֹרַה	mᵉgôwrah	meg-o-raw'	heb	Noun Feminine	feminine of מָגוֹר; affright; fear.
H4035	מְגוּרָה	mᵉgûwrâh	meg-oo-raw'	heb	Noun Feminine	feminine of מָגוֹר or of מָגוּר; a fright; also a granary; barn, fear.
H4036	מָגוֹר מִסָּבִיב	Mâgôwr miç-Çâbîyb	maw-gore' mis-saw-beeb'	x-pn	Proper Name Masculine	from מָגוֹר and סָבִיב with the preposition inserted; affright from around; Magor-mis-Sabib, a symbolic name of Pashur; Magormissabib.
H4037	מַגְזֵרָה	magzêrâh	mag-zay-raw'	heb	Noun Feminine	from גָּזַר; a cutting implement, i.e. a blade; axe.
H4038	מַגָּל	maggâl	mag-gawl'	heb	Noun Masculine	from an unused root meaning to reap; a sickle; sickle.
H4039	מְגִלָּה	mᵉgillâh	meg-il-law'	heb	Noun Feminine	from גָּלַל; a roll; roll, volume.
H4040	מְגִלָּה	mᵉgillâh	meg-il-law'	arc	Noun Feminine	(Aramaic) corresponding to מְגִלָּה; {a roll}; roll.
H4041	מְגַמָּה	mᵉgammâh	meg-am-maw'	heb	Noun Feminine	from the same as גַּם; properly, accumulation, i.e. impulse or direction; sup up.
H4042	מָגַן	mâgan	maw-gan'	heb	Verb	a denominative from מָגֵן; properly, to shield; encompass with; figuratively, to rescue, to hand safely over (i.e. surrender); deliver.
H4043	מָגֵן	mâgên	maw-gane'	heb	Noun Masculine	also (in plural) feminine מְגִנָּה; from גָּנַן; a shield (i.e. the small one or buckler); figuratively, a protector; also the scaly hide of the crocodile; [idiom] armed, buckler, defence, ruler, [phrase] scale, shield.
H4044	מְגִנָּה	mᵉginnâh	meg-in-naw'	heb	Noun Feminine	from מָגַן; a covering (in a bad sense), i.e. blindness or obduracy; sorrow. See also מָגֵן.
H4045	מִגְעֶרֶת	migʻereth	mig-eh'-reth	heb	Noun Feminine	from גָּעַר; reproof (i.e. curse); rebuke.
H4046	מַגֵּפָה	maggêphâh	mag-gay-faw'	heb	Noun Feminine	from נָגַף; a pestilence; by analogy, defeat; ([idiom] be) plague(-d), slaughter, stroke.
H4047	מַגְפִּיעָשׁ	Magpîyʻâsh	mag-pee-awsh'	x-pn	Proper Name Masculine	apparently from גּוּף or נָגַף and עָשׁ; exterminator of (the) moth; Magpiash, an Israelite; Magpiash.
H4048	מָגַר	mâgar	maw-gar'	heb	Verb	a primitive root; to yield up; intensively, to precipitate; cast down, terror.
H4049	מְגַר	mᵉgar	meg-ar'	arc	Verb	(Aramaic) corresponding to מָגַר; to overthrow; destroy.
H4050	מְגֵרָה	mᵉgêrâh	meg-ay-raw'	heb	Noun Feminine	from גָּרַר; a saw; axe, saw.
H4051	מִגְרוֹן	Migrôwn	mig-rone'	x-pn	Proper Name Location	from מָגַר; precipice; Migron, a place in Palestine; Migron.
H4052	מִגְרָעָה	migrâʻâh	mig-raw-aw'	heb	Noun Feminine	from גָּרַע; a ledge or offset; narrowed rest.
H4053	מִגְרָפָה	migrâphâh	mig-raw-faw'	heb	Noun Feminine	from גָּרַף; something thrown off (by the spade), i.e. a clod; clod.
H4054	מִגְרָשׁ	migrâsh	mig-rawsh'	heb	Noun Masculine	also (in plural) feminine (Ezekiel 27:28) מִגְרָשָׁה; from גָּרַשׁ; a suburb (i.e. open country whither flocks are driven from pasture); hence, the area around abuilding, or the margin of the sea; cast out, suburb.
H4055	מַד	mad	mad	heb	Noun Masculine	or מֵד; from מָדַד; properly, extent, i.e. height; also a measure; by implication, a vesture (as measured); also a carpet; armour, clothes, garment, judgment, measure, raiment, stature.
H4056	מַדְבַּח	madbach	mad-bakh'	arc	Noun Masculine	(Aramaic) from דְּבַח; a sacrificial altar; altar.
H4057	מִדְבָּר	midbâr	mid-bawr'	heb	Noun Masculine	from דָבַר in the sense of driving; a pasture (i.e. open field, whither cattle are driven); by implication, a desert; also speech (including its organs); desert, south, speech, wilderness.
H4058	מָדַד	mâdad	maw-dad'	heb	Verb	a primitive root; properly, to stretch; by implication, to measure (as if by stretching a line); figuratively, to be extended; measure, mete, stretch self.
H4059	מִדַּד	middad	mid-dad'	heb	Verb	from נָדַד; flight; be gone.
H4060	מִדָּה	middâh	mid-daw'	heb	Noun Feminine	feminine of מַד; properly, extension, i.e. height or breadth; also a measure (including its standard); hence a portion (as measured) or a vestment; specifically, tribute (as measured); garment, measure(-ing, meteyard, piece, size, (great) stature, tribute, wide.
H4061	מִדָּה	middâh	mid-daw'	arc	Noun Feminine	(Aramaic) or מִנְדָּה; (Aramaic), corresponding to מִדָּה; tribute in money; toll, tribute.
H4062	מַדְהֵבָה	madhêbâh	mad-hay-baw'	heb	Noun Feminine	perhaps from the equivalent of דְּהַב; goldmaking, i.e. exactness; golden city.
H4063	מֶדֶו	medev	meh'-dev	heb	Noun Masculine	from an unused root meaning to stretch; properly, extent, i.e. measure; by implication, a dress (as measured); garment.
